gene_name	rep	condition	total	sup	pel
ENSG00000054654.16	1	1	4341	4148	6924
ENSG00000054690.13	1	1	19	35	118
ENSG00000054793.13	1	1	295	413	246
ENSG00000054965.10	1	1	2170	5318	7336
ENSG00000054967.12	1	1	1051	4224	10030
ENSG00000054983.16	1	1	2438	1354	1363
ENSG00000055044.10	1	1	12413	4514	3915
ENSG00000055070.16	1	1	11195	35235	5967
ENSG00000055118.14	1	1	13	68	70
ENSG00000055130.15	1	1	7229	6934	2854
ENSG00000055147.18	1	1	3905	1838	714
ENSG00000055163.19	1	1	5472	21990	10956
ENSG00000055208.18	1	1	12070	11352	5409
ENSG00000055211.13	1	1	2353	1432	347
ENSG00000055332.17	1	1	30875	20149	7604
